logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
28V,1,1,0,1,0,-11.459893818418422,-11.33866731138583
28si,1,1,0,1,0,-11.459893818418422,-11.33866731138583
28th,4,4,0,2,0,-10.543603086544268,-11.33866731138583
28v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
29th,4,0,4,0,2,-12.153040998978367,-9.729229398951729
2A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2Connected,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2D,3,3,0,3,0,-10.766746637858477,-11.33866731138583
2DPSK,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2DoF,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2Dprincipal,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2N,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2PL,1,0,1,0,1,-12.153040998978367,-10.645520130825885
2Q,1,0,1,0,1,-12.153040998978367,-10.645520130825885
2a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2d,4,4,0,4,0,-10.543603086544268,-11.33866731138583
2dpsk,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2ge0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2l,1,0,1,0,1,-12.153040998978367,-10.645520130825885
2n,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2nd,51,51,0,26,0,-8.20179728039694,-11.33866731138583
2pl,1,0,1,0,1,-12.153040998978367,-10.645520130825885
2q,1,0,1,0,1,-12.153040998978367,-10.645520130825885
2stage,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2sup,1,1,0,1,0,-11.459893818418422,-11.33866731138583
2v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
30th,6,6,0,3,0,-10.207130849923054,-11.33866731138583
31st,2,0,2,0,1,-12.153040998978367,-10.24005502271772
325MHz,1,1,0,1,0,-11.459893818418422,-11.33866731138583
32V,1,1,0,1,0,-11.459893818418422,-11.33866731138583
32nd,6,2,4,1,2,-11.054428710310258,-9.729229398951729
32nm,4,4,0,2,0,-10.543603086544268,-11.33866731138583
32v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
33V,1,1,0,1,0,-11.459893818418422,-11.33866731138583
33mn1,1,1,0,1,0,-11.459893818418422,-11.33866731138583
33mno3,1,1,0,1,0,-11.459893818418422,-11.33866731138583
33rd,8,2,6,1,3,-11.054428710310258,-9.392757162330517
34th,2,2,0,1,0,-11.054428710310258,-11.33866731138583
35um,1,1,0,1,0,-11.459893818418422,-11.33866731138583
36th,2,2,0,1,0,-11.054428710310258,-11.33866731138583
37th,2,2,0,1,0,-11.054428710310258,-11.33866731138583
3A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3Axis,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3B,2,2,0,2,0,-11.054428710310258,-11.33866731138583
3CSiC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3D,31,28,3,27,3,-8.785745168991895,-9.95237295026594
3DSoftVis,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3Dvisualization,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3G,5,5,0,5,0,-10.361281529750313,-11.33866731138583
3GWLAN,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3T1D,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3XNF,1,0,1,0,1,-12.153040998978367,-10.645520130825885
3a,2,2,0,2,0,-11.054428710310258,-11.33866731138583
3b,2,2,0,2,0,-11.054428710310258,-11.33866731138583
3c,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3d,32,29,3,27,3,-8.751843617316213,-9.95237295026594
3dsoftvis,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3g,6,6,0,6,0,-10.207130849923054,-11.33866731138583
3rd,28,28,0,14,0,-8.785745168991895,-11.33866731138583
3step,2,2,0,2,0,-11.054428710310258,-11.33866731138583
3sup,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3t1d,1,1,0,1,0,-11.459893818418422,-11.33866731138583
3x,2,0,2,0,2,-12.153040998978367,-10.24005502271772
3xnf,1,0,1,0,1,-12.153040998978367,-10.645520130825885
40V,1,1,0,1,0,-11.459893818418422,-11.33866731138583
40v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
45nm,4,4,0,2,0,-10.543603086544268,-11.33866731138583
47as,1,1,0,1,0,-11.459893818418422,-11.33866731138583
48as,2,2,0,2,0,-11.054428710310258,-11.33866731138583
48p,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4HSiC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4as,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4cube,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4fluorobenzoate,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4ghz,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4h,1,1,0,1,0,-11.459893818418422,-11.33866731138583
4th,36,32,4,16,2,-8.656533437511888,-9.729229398951729
4way,1,1,0,1,0,-11.459893818418422,-11.33866731138583
50MSPS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
50MSs,1,1,0,1,0,-11.459893818418422,-11.33866731138583
50g,2,2,0,1,0,-11.054428710310258,-11.33866731138583
50ms,1,1,0,1,0,-11.459893818418422,-11.33866731138583
52al0,2,2,0,2,0,-11.054428710310258,-11.33866731138583
52in0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
53ga0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
5B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
5GHZ,1,1,0,1,0,-11.459893818418422,-11.33866731138583
5b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
5th,16,16,0,8,0,-9.319827654922152,-11.33866731138583
5v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
64bit,1,1,0,1,0,-11.459893818418422,-11.33866731138583
67ca0,2,2,0,2,0,-11.054428710310258,-11.33866731138583
6B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6HSiC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6T,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6ga0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6h,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6lowpan,2,2,0,1,0,-11.054428710310258,-11.33866731138583
6t,1,1,0,1,0,-11.459893818418422,-11.33866731138583
6th,12,12,0,6,0,-9.588091641516831,-11.33866731138583
6transistors,1,1,0,1,0,-11.459893818418422,-11.33866731138583
78as,4,4,0,2,0,-10.543603086544268,-11.33866731138583
7A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
7B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
7a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
7b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
7th,8,8,0,4,0,-9.95581642164215,-11.33866731138583
80211a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
80211g,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8021q,1,1,0,1,0,-11.459893818418422,-11.33866731138583
80s,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
8bit,2,2,0,2,0,-11.054428710310258,-11.33866731138583
8th,10,10,0,5,0,-9.755145726179997,-11.33866731138583
8v,1,1,0,1,0,-11.459893818418422,-11.33866731138583
900MHz,3,3,0,3,0,-10.766746637858477,-11.33866731138583
900mhz,3,3,0,3,0,-10.766746637858477,-11.33866731138583
90n,1,1,0,1,0,-11.459893818418422,-11.33866731138583
90nm,4,4,0,2,0,-10.543603086544268,-11.33866731138583
90s,2,0,2,0,2,-12.153040998978367,-10.24005502271772
95ps,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9n,1,1,0,1,0,-11.459893818418422,-11.33866731138583
9th,2,0,2,0,1,-12.153040998978367,-10.24005502271772
A,1651,1226,425,1223,420,-5.040713554267456,-5.284227965116459
AAA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AADL,6,6,0,6,0,-10.207130849923054,-11.33866731138583
AB,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ABASs,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ABB,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ABC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ABCTool,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AC,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ACE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACL2,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACL2s,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACLM,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ACM,1,0,1,0,1,-12.153040998978367,-10.645520130825885
