logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
Partitionbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Partitioned,3,0,3,0,3,-12.153040998978367,-9.95237295026594
PartitionedList,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Partitioning,10,4,6,4,6,-10.543603086544268,-9.392757162330517
Parts,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Parzen,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pascal,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pass,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Passive,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Past,4,3,1,3,1,-10.766746637858477,-10.645520130825885
Pasta3s,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Patch,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Patches,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Patching,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Path,15,6,9,6,9,-10.207130849923054,-9.036082218391783
PathFinder,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PathSensitive,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pathfinder,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Paths,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Pathway,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pathways,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pattern,16,9,7,9,7,-9.850455905984322,-9.259225769705994
PatternBased,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Patternbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Patterndirected,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Patterns,27,22,5,22,5,-9.017546783049218,-9.546907842157774
Paving,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Paxos,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PayPerView,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Payload,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pd,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Peak,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Peaks,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pecan,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pedagogical,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pedagogy,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pedestrian,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Peer,3,3,0,2,0,-10.766746637858477,-11.33866731138583
PeertoPeer,3,1,2,1,2,-11.459893818418422,-10.24005502271772
Peertopeer,3,1,2,1,2,-11.459893818418422,-10.24005502271772
Pekan,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Penetration,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pentacene,1,1,0,1,0,-11.459893818418422,-11.33866731138583
People,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Peopleware,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Perceived,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Percentile,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Perceptions,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Perfect,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Perform,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Performance,107,57,50,57,50,-8.09259798843195,-7.406841678661504
PerformanceAware,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Performanceintensive,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Performances,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Performing,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Period,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Periodic,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Peripheral,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PeriscopeGQ,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PeriscopeSQ,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Permanent,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Permissionbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Permittivity,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Permuting,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Perpetual,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Perplexed,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Perracotta,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Persistence,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Persistent,9,2,7,2,7,-11.054428710310258,-9.259225769705994
Person,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Personal,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Personalised,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Personalising,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Personalization,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Personalized,7,4,3,4,3,-10.543603086544268,-9.95237295026594
Personalizing,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Personnel,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Perspective,11,6,5,6,5,-10.207130849923054,-9.546907842157774
Perspectives,5,5,0,5,0,-10.361281529750313,-11.33866731138583
Perturbation,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pervasive,8,7,1,7,1,-10.073599457298531,-10.645520130825885
Pesona16sup,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Petascale,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Peter,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Petri,25,25,0,25,0,-8.894944460956886,-11.33866731138583
PetriCode,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pex,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pfeffer,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PhD,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Phantom,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Phase,6,5,1,5,1,-10.361281529750313,-10.645520130825885
PhaseType,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Phases,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PhenotypeDefining,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Philippines,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Philips,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Philosophies,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Phone,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Phonegap,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Phosphorus,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photodetector,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photodiode,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photodiodes,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Photoelectrochemical,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photoelectron,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photolithography,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photoluminescence,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Photonic,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Photopthermal,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photorealistic,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photoresist,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Photoresists,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Phrase,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Physical,10,6,4,6,4,-10.207130849923054,-9.729229398951729
PhysicalBased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Physics,3,1,2,1,2,-11.459893818418422,-10.24005502271772
PiSigma,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PicShark,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Picasso,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Picking,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PicoDBMS,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Picture,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Pictures,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Piecewise,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PiezoResistive,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Piezoelectric,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Pig,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Piggybacking,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Pilot,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PilotSystem,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Pinholes,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pipeline,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Pipelined,4,3,1,3,1,-10.766746637858477,-10.645520130825885
Piranha,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Pitfalls,5,5,0,5,0,-10.361281529750313,-11.33866731138583
Pitree,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Pitting,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pixel,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pixida,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Place,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Placement,4,1,3,1,3,-11.459893818418422,-9.95237295026594
Placing,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Plagiarism,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Plain,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Plan,2,1,1,1,1,-11.459893818418422,-10.645520130825885
PlanOperator,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PlanPerTuple,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Planar,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Planbased,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Plane,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PlanetSim,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Planeview,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Planning,10,9,1,9,1,-9.850455905984322,-10.645520130825885
PlanningBased,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Plans,4,3,1,3,1,-10.766746637858477,-10.645520130825885
Plasma,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PlasmaAssisted,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Plasmaassisted,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Plasmas,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Plasmon,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Platform,18,13,5,12,5,-9.513983669363109,-9.546907842157774
Platformcentric,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Platformindependence,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Platformindependent,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Platforms,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Plating,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Platinum,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Plenary,7,7,0,7,0,-10.073599457298531,-11.33866731138583
Plots,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PlugIns,2,2,0,2,0,-11.054428710310258,-11.33866731138583
PlugandPlay,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pluggable,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pmosfet,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Poess,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Point,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Pointer,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PointerBased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Points,4,2,2,2,2,-11.054428710310258,-10.24005502271772
PointtoPoint,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Poisson,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polar,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Policies,6,3,3,3,3,-10.766746637858477,-9.95237295026594
Policy,8,7,1,7,1,-10.073599457298531,-10.645520130825885
Policybased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polishing,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Poly,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Poly44diphenylene,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polygen,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Polygon,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Polyimide,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polymer,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Polymorphic,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polymorphism,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polyphony,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Polyvinylidene,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pool,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Pooling,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Poor,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Populated,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Population,3,2,1,2,1,-11.054428710310258,-10.645520130825885
PorchLight,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Porous,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Porphyrin,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Portability,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Portable,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Portal,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Portals,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Portfolio,5,5,0,5,0,-10.361281529750313,-11.33866731138583
Portland,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Portlets,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Portraits,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Portugal,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Position,7,7,0,7,0,-10.073599457298531,-11.33866731138583
Positioning,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Positive,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Possibilities,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Possibility,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Post,2,2,0,2,0,-11.054428710310258,-11.33866731138583
PostApply,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PostDelivery,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Postdominator,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Poster,21,21,0,21,0,-9.061998545620053,-11.33866731138583
Postexposure,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PostgreSQL,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PostgresR,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Postprocess,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Postthermal,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Potential,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Potters,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Potts,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Poverty,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Powder,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Powders,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Power,18,16,2,15,2,-9.319827654922152,-10.24005502271772
Powerful,3,0,3,0,3,-12.153040998978367,-9.95237295026594
Powerlaw,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Ppulo,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pqtl,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pr,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PrDB,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Practical,30,15,15,15,15,-9.380452276738588,-8.566078589146048
Practically,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Practice,19,12,7,12,7,-9.588091641516831,-9.259225769705994
Practices,9,9,0,9,0,-9.850455905984322,-11.33866731138583
Practicioners,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Practising,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pragmatic,9,6,3,6,3,-10.207130849923054,-9.95237295026594
Prcis,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PreAggregation,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PreComputed,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PrePruning,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preanalysis,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Precedence,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Precise,8,8,0,8,0,-9.95581642164215,-11.33866731138583
Precision,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PrecisionPerformance,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Preclassification,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Precursors,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Predeclared,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PrediCalc,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Predicate,4,0,4,0,4,-12.153040998978367,-9.729229398951729
Predicatebased,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Predicates,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Predicative,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Predict,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Predictable,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Predicting,19,17,2,17,2,-9.262669241082204,-10.24005502271772
Prediction,14,11,3,11,3,-9.668134349190368,-9.95237295026594
Predictions,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Predictive,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Predictor,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Predictors,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preemption,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preface,3,0,3,0,3,-12.153040998978367,-9.95237295026594
Preferable,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preference,3,0,3,0,3,-12.153040998978367,-9.95237295026594
Preferences,3,0,3,0,3,-12.153040998978367,-9.95237295026594
Prefetch,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Prefix,2,0,2,0,2,-12.153040998978367,-10.24005502271772
PrefixSpan,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preliminary,10,8,2,8,2,-9.95581642164215,-10.24005502271772
Prelude,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preorders,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preparation,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Prepare,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Prepared,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Preprocessing,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Prequalification,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Prescription,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Prescriptions,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Presence,7,3,4,3,4,-10.766746637858477,-9.729229398951729
Presencecondition,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Present,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Presentation,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Presentations,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Presentationsoftware,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preservation,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Preserve,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preserving,6,3,3,3,3,-10.766746637858477,-9.95237295026594
Presilicon,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preskriptor,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pressure,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Presumed,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Preventative,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preventing,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Prevention,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Preventive,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Preworkshop,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Price,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Pricing,5,4,1,4,1,-10.543603086544268,-10.645520130825885
Primal,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Primer,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Primitives,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Principle,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Principled,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Principles,9,5,4,5,4,-10.361281529750313,-9.729229398951729
Printed,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Printing,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Priorities,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Prioritization,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Prioritizing,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Priority,2,0,2,0,2,-12.153040998978367,-10.24005502271772
PriorityBased,1,0,1,0,1,-12.153040998978367,-10.645520130825885
PriorityHints,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Prism,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Prison,1,1,0,1,0,-11.459893818418422,-11.33866731138583
PrivBasis,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Privacy,22,7,15,7,15,-10.073599457298531,-8.566078589146048
PrivacyInvasive,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Privacyaware,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Privacypreserving,4,1,3,1,3,-11.459893818418422,-9.95237295026594
Private,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProB,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProCoS,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProLi,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ProMoVer,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProNat,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProSim03,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProSim04the,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProTDB,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Proactive,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Proactivity,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Probabilistic,17,4,13,4,13,-10.543603086544268,-8.699609981770571
Probability,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Probeless,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Prober,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Problem,25,19,6,19,6,-9.157308725424377,-9.392757162330517
ProblemBased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Problems,18,13,5,13,5,-9.513983669363109,-9.546907842157774
ProblemsChallenges,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Procedural,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Procedure,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Procedures,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Proceedings,95,67,28,67,28,-7.933533293802261,-7.9713714813993555
Process,122,114,8,109,8,-7.408108870615118,-9.14144273404961
ProcessCentered,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Processcentered,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Processes,19,16,3,14,3,-9.319827654922152,-9.95237295026594
ProcessesExperiences,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Processing,91,6,85,6,84,-10.207130849923054,-6.884320015132322
Processor,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Processors,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Processsup,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ProclamationBased,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Procurement,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Producing,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Product,22,19,3,18,3,-9.157308725424377,-9.95237295026594
ProductLine,2,2,0,1,0,-11.054428710310258,-11.33866731138583
Production,11,3,8,3,8,-10.766746637858477,-9.14144273404961
Productivity,5,5,0,5,0,-10.361281529750313,-11.33866731138583
Productline,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Products,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Profession,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Professional,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Profile,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Profiles,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Profiling,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Profit,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Program,54,48,6,48,6,-8.261220700867742,-9.392757162330517
Programanalysis,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Programme,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Programmer,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Programmers,4,4,0,3,0,-10.543603086544268,-11.33866731138583
Programming,56,44,12,44,12,-8.346378509208048,-8.773717953924292
Programs,22,17,5,17,5,-9.262669241082204,-9.546907842157774
Progress,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Progressing,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Progressive,10,3,7,3,7,-10.766746637858477,-9.259225769705994
Project,27,26,1,24,1,-8.857204132974038,-10.645520130825885
Projecting,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Projection,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Projections,2,0,2,0,2,-12.153040998978367,-10.24005502271772
Projects,14,13,1,13,1,-9.513983669363109,-10.645520130825885
Prolog,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Prominent,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Promises,3,1,2,1,2,-11.459893818418422,-10.24005502271772
Promoting,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Promotion,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Prompter,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Prompts,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Proneness,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Pronto,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Proof,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Proofinfused,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Proofs,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Propagating,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Propagation,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Propel,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Properties,19,15,4,15,4,-9.380452276738588,-9.729229398951729
Property,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Prophetic,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Proposal,5,4,1,4,1,-10.543603086544268,-10.645520130825885
Propose,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Proposing,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Proposition,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Propulsion,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Prospects,3,3,0,3,0,-10.766746637858477,-11.33866731138583
